alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0.2,17.1605733961612,0.876603309799251,1.40634972019463,5.21608714254282,0.604367535372499,0.199088369599745,0.244386431960053,0.293084049564574,0.00318759123266399,0.0044946032031555,0.00612294587603445
0.22,17.1605733961612,4.1051857340306,5.14816301724543,9.60315792948293,0.604367535372499,0.413683784470624,0.484421250834338,0.54668283591359,0.020242098676006,0.0256652400528166,0.0334816988082254
0.24,17.1605733961612,7.23210755421573,8.6252176887213,12.4664272948453,0.604367535372499,0.584929277957784,0.656062825874049,0.702503264640152,0.0446057188735677,0.0569678719520531,0.0743992037199147
0.26,17.1605733961612,9.54829167206586,11.049315737264,14.3632861441936,0.604367535372499,0.692751554632932,0.75722398821279,0.790067122267656,0.0734342329802324,0.093867520166707,0.121188578041504
0.28,17.1605733961612,11.2788184331512,12.7015918045011,15.5534746751596,0.604367535372499,0.751933676225823,0.815414626703949,0.835665569067189,0.105307301846851,0.133434949136761,0.170057879494984
0.3,17.1605733961612,12.6133444582157,13.925844258688,16.3611440756997,0.604367535372499,0.784713499290608,0.844952437458755,0.859799466991732,0.140274631814698,0.176448126875017,0.22184067347031
0.32,17.1605733961612,13.5280518834183,14.7166958860012,16.8387315802858,0.604367535372499,0.796860373071755,0.847157034192585,0.8725645933185,0.172871877041264,0.215522825639511,0.267711042616004
0.34,17.1605733961612,14.3103956240958,15.3826737551616,17.1721768440601,0.604367535372499,0.792005513046136,0.837574281802967,0.875086580531266,0.208730414727869,0.257992819387882,0.316923463293031
0.36,17.1605733961612,14.9441911124956,15.910084638332,17.3981815412288,0.604367535372499,0.772817394940035,0.822313012908538,0.865822738855525,0.247058629445834,0.302908719977673,0.36734752535487
0.38,17.1605733961612,15.4509349711346,16.3295217974187,17.5063657273335,0.604367535372499,0.74594006985779,0.801857730602744,0.850927062261888,0.285000230718773,0.347055149617603,0.416606818839322
0.4,17.1605733961612,15.8779138490943,16.6447153973537,17.4653559363653,0.604367535372499,0.714714806705643,0.77692702471184,0.830513949267925,0.324358535427453,0.390822703932268,0.46378143390914
0.42,17.1605733961612,16.2442230827954,16.9122178687177,17.4132671216661,0.604367535372499,0.677695917295164,0.745118011412515,0.80483916780667,0.366740440343827,0.43690099059459,0.513098109408573
0.44,17.1605733961612,16.5363314399858,17.0968869315543,17.35369723189,0.604367535372499,0.640373458792514,0.711871932126264,0.776144821312315,0.407355864859078,0.480779054129274,0.55733136959037
0.46,17.1605733961612,16.7542486122192,17.1163737289582,17.2940831475802,0.604367535372499,0.605987295757401,0.679893802002728,0.748581999524259,0.443283536398609,0.518544523557026,0.596117824697157
0.48,17.1605733961612,16.880471694847,17.1289607008826,17.2928858208757,0.604367535372499,0.564854872866895,0.64025825854126,0.712780543442353,0.486200962900398,0.56276403485274,0.638694293758141
0.5,17.1605733961612,16.880019666861,17.131733629412,17.3116492434132,0.604367535372499,0.526632258494943,0.603436906478078,0.678054601927304,0.524180157828581,0.600805184272475,0.675835823370824
0.52,17.1605733961612,16.88048907179,17.1280471808383,17.2929998186729,0.604367535372499,0.485068891471373,0.561086778496971,0.638007957347244,0.565619933444173,0.641589298902401,0.71344430509061
0.54,17.1605733961612,16.7635786879013,17.1167345573868,17.2904367490848,0.604367535372499,0.445374031961542,0.520829868581866,0.598205059951387,0.603810143375735,0.678040332411783,0.747099420288693
0.56,17.1605733961612,16.519123627124,17.0886606458136,17.357988419939,0.604367535372499,0.404841298177956,0.477625315953646,0.555052844875052,0.64249449805509,0.714133383446264,0.777962693453867
0.58,17.1605733961612,16.2126090973884,16.8949375899899,17.4174197266669,0.604367535372499,0.363198538202274,0.433440107437545,0.509278591024997,0.680694937875474,0.747791603470844,0.807007082790325
0.6,17.1605733961612,15.8878587019046,16.6551900174484,17.4654443834441,0.604367535372499,0.32557309590292,0.391771663422378,0.465243652714462,0.713957612979815,0.776044253326505,0.829799714460272
0.62,17.1605733961612,15.4450658198041,16.3184628522345,17.5022758526035,0.604367535372499,0.284828380258876,0.346209813197576,0.415595590217249,0.746725889740993,0.802369903077894,0.851068244713834
0.64,17.1605733961612,14.9065161856743,15.8910670607694,17.3892800144964,0.604367535372499,0.244556602897135,0.300402811948012,0.364865669042394,0.774398356457097,0.823704672373717,0.866784338768537
0.66,17.1605733961612,14.2876801951369,15.3802982216732,17.1761932963061,0.604367535372499,0.207982515334057,0.257652188939755,0.316484056998649,0.792103159969796,0.837797789232561,0.875244077238074
0.68,17.1605733961612,13.5326785443826,14.7331234700851,16.8440321036361,0.604367535372499,0.173034635829123,0.216371801816822,0.26872986722927,0.796700163037309,0.846819391329088,0.872477419257387
0.7,17.1605733961612,12.5691135781243,13.9000358382289,16.3599835831091,0.604367535372499,0.139169350948294,0.175818872294811,0.220958559353421,0.784558337210096,0.844217383357153,0.859273843324121
0.72,17.1605733961612,11.2260489733584,12.6878797122757,15.5479947686789,0.604367535372499,0.104303730250196,0.133194709596128,0.169671381140585,0.750878889467523,0.813845444348771,0.834969903939038
0.74,17.1605733961612,9.45704234021157,11.0226252648981,14.3584808141433,0.604367535372499,0.0721908706761918,0.093269227859207,0.120535460306036,0.690317772164247,0.75324540357588,0.789096098419731
0.76,17.1605733961612,7.11115759346616,8.69343550471642,12.5748638705696,0.604367535372499,0.0436473493693409,0.057301742782277,0.0754451725555293,0.5840459760445,0.64914393082857,0.703892014046047
0.78,17.1605733961612,3.81390925006114,5.08230511818289,9.58270584262594,0.604367535372499,0.0187285667880163,0.0243699846616108,0.032955959590548,0.403397957365996,0.466240451482796,0.542968415622004
0.8,17.1605733961612,0.81002662520866,1.30991315978485,5.31667878674209,0.604367535372499,0.00307046784274688,0.00410009977055442,0.00599130641883749,0.191333157785149,0.235481183684781,0.297497663016095
