alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0.26,17.1605733961612,15.990538990609,17.9183884148641,18.2318649286899,0.604367535372499,0.143060763062767,0.211035078460047,0.307190170136999,0.837812762115477,0.968483444644587,1.07365587297699
0.28,17.1605733961612,15.953999682485,17.8129923817794,18.1797148895837,0.604367535372499,0.168784761630889,0.246444752530342,0.355048173888786,0.799569199441939,0.936390458072607,1.04839307904383
0.3,17.1605733961612,16.1327047248364,17.6977931897199,18.1269071980732,0.604367535372499,0.192565361923079,0.28010545383684,0.397978121099901,0.763719759721093,0.905862043769093,1.02410673519796
0.32,17.1605733961612,16.2805748893955,17.5870199417527,18.0726310804785,0.604367535372499,0.214895871468825,0.310036108974022,0.43623593094436,0.731844906970264,0.877397249332279,1.00105977141894
0.34,17.1605733961612,16.4114972057303,17.4569109541621,18.0129856425428,0.604367535372499,0.238031834104369,0.342400504225821,0.47518797001487,0.697785517121691,0.846863497819364,0.976581025297541
0.36,17.1605733961612,16.5381290655026,17.3044970230821,17.9420861833014,0.604367535372499,0.262979616655446,0.376328015673263,0.514401991596553,0.663634684231126,0.815033958559589,0.950237860807234
0.38,17.1605733961612,16.6568253253477,17.2087983480085,17.8659987215866,0.604367535372499,0.287576327936725,0.40685745872078,0.550325757305549,0.631698164088402,0.785538376311606,0.925319887904863
0.4,17.1605733961612,16.7709577948572,17.2115159528098,17.7796217217317,0.604367535372499,0.314326717992057,0.439540943885842,0.586598351381538,0.599485647440186,0.754242029932764,0.89632963634044
0.42,17.1605733961612,16.8020112114549,17.2053074521577,17.6844867835663,0.604367535372499,0.339887625924457,0.471944475055859,0.621879662058277,0.567726666796622,0.722790112425227,0.869174954102266
0.44,17.1605733961612,16.723070914755,17.19788325599,17.6075831651289,0.604367535372499,0.36794582380152,0.50587189629544,0.657611884276692,0.535177264381439,0.690325692952965,0.839305474330659
0.46,17.1605733961612,16.6721310516846,17.1908677536656,17.6088296629354,0.604367535372499,0.393582228442162,0.535538763966322,0.689256637507512,0.506355231954902,0.660418703855136,0.811697169670342
0.48,17.1605733961612,16.6404192558359,17.1850520346659,17.6088526082032,0.604367535372499,0.42024482717944,0.566785235457709,0.720451874548377,0.478726497601762,0.629302007171064,0.782907624196127
0.5,17.1605733961612,16.6287479150625,17.1832148854198,17.6078617245689,0.604367535372499,0.449288821744064,0.598819134252659,0.752225249801382,0.449391635577755,0.597450786052622,0.751717808383824
0.52,17.1605733961612,16.6348140589474,17.1823556955882,17.6074714950243,0.604367535372499,0.477880191503589,0.630180690042823,0.782061991525682,0.421460457914905,0.566337867608048,0.720298269013362
0.54,17.1605733961612,16.6773287822101,17.1882033040238,17.6066051506304,0.604367535372499,0.509623173910868,0.663471461235241,0.814003295259481,0.391488501186264,0.532430244157035,0.686044799842574
0.56,17.1605733961612,16.7281883842199,17.1952744485767,17.606864677419,0.604367535372499,0.538744299650529,0.693138024055314,0.842022022797022,0.365221102869538,0.502128248084658,0.654637024256847
0.58,17.1605733961612,16.8055657860708,17.2016933196106,17.6850373022002,0.604367535372499,0.568844285339233,0.723333570373069,0.869478556726287,0.339568143207947,0.470818969986872,0.620738109839266
0.6,17.1605733961612,16.7565530042903,17.2116573243875,17.7780291706761,0.604367535372499,0.599710903199719,0.754416197104242,0.896806602207871,0.314000178189734,0.439560275321011,0.586319700743899
0.62,17.1605733961612,16.6600691464233,17.2090754141763,17.86436159523,0.604367535372499,0.630730315364551,0.784076985923591,0.924395345210299,0.28825093245611,0.408611808104403,0.551700746176505
0.64,17.1605733961612,16.5214594643961,17.3063646179552,17.9449533378107,0.604367535372499,0.665569564820244,0.816660756705526,0.951613105575016,0.261948606517187,0.374080616048307,0.512236272414657
0.66,17.1605733961612,16.4063665779162,17.4523482932589,18.0120174418845,0.604367535372499,0.697836536277347,0.846613779113524,0.976837873613649,0.237775737667782,0.342221196629139,0.47556967712456
0.68,17.1605733961612,16.2768130020346,17.5786846834523,18.0725502619982,0.604367535372499,0.730296017755223,0.876438037705499,1.00083544720891,0.214872388631748,0.31105930911928,0.43754767560145
